CODPARC;RAZAOSOCIAL;NOMEPARC;NOMECID;UF;CODREG;NOMEREG;NUNOTAPEDIDO;DTNEG;VLRPEDIDO;TOTAL_CAIXASPEDIDO;PESO_PEDIDO;NUNOTAVENDA;DTFATURAMENTO;VLRNOTA;TOTAL_CAIXASFATUR;PESO_NOTA;DTENTREGA;DIAS;FATURADOENTREGA;PEDIDOENTREGA;SEQUENCIA;STATUS;STATUS_DESC
525;COMERCIAL QUEIROZ & CIA LTDA;QUEIROZ SANTA DELMIRA II;Mossoro;RN;10101300;RN - MOSSORÓ;289059;2025-11-06 00:00:00;1353.36;47;302.148;289765;2025-11-07 00:00:00;994.8;41;237.78;2025-11-12 00:00:00;1;5;6;17;1;Entregue
490;ECILDO ROBERTO MONTEIRO ALVES;SUP. MONTEIRO-REDE OESTE;APODI;RN;10101500;RN - AUTO-OESTE;293171;2025-11-20 00:00:00;204.4;4;48.48;293474;2025-11-21 00:00:00;204.4;4;48.48;;1;;;2;0;Em Rota
4749;INDUSTRIA COMERCIAL FRIGORIFICA POTIGUAR LTDA;NORDESTAO CD - CENTRAL CARNES;Parnamirim;RN;10100400;RN - PARNAMIRIM;288521;2025-11-05 00:00:00;16488.0;75;976.95;289330;2025-11-07 00:00:00;15828.48;72;937.872;2025-11-10 00:00:00;2;3;5;1;1;Entregue
107;SUPERMERCADO NORDESTAO LTDA;NORDESTAO TIROL LJ 7;Natal;RN;10100102;RN - NATAL SUL;290728;2025-11-11 00:00:00;639.6;41;240.192;291816;2025-11-14 00:00:00;639.6;41;240.192;2025-11-17 00:00:00;3;3;6;3;1;Entregue
564;H. CANTALICE DE ARAUJO & CIA LTDA;SUP. IRMAOS CANTALICE - REDE SERIDO;EQUADOR;RN;10101200;RN - SERIDÓ 2;291075;2025-11-12 00:00:00;2692.18;68;392.972;291615;2025-11-14 00:00:00;2582.74;66;382.148;2025-11-20 00:00:00;2;6;8;33;1;Entregue
487;SUPERMERCADO PAI E FILHO LTDA;MERC. PAI E FILHO-REDE OESTE;Umarizal;RN;10101500;RN - AUTO-OESTE;288809;2025-11-05 00:00:00;1672.5;37;276.606;289710;2025-11-07 00:00:00;240.0;10;78.24;2025-11-18 00:00:00;2;11;13;1;1;Entregue
4518;E FERNANDES PINHEIRO LTDA;FRICARNES JOAO CAMARA;Joao Camara;RN;10101700;RN - SALINEIRA 2;290664;2025-11-11 00:00:00;515.64;11;38.73;293585;2025-11-21 00:00:00;515.64;11;38.73;;10;;;9;0;Em Rota
5605;SUPERMERCADO NORDESTAO LTDA;SUPERFACIL ALTO DE SAO MANOEL;Mossoro;RN;10101300;RN - MOSSORÓ;292187;2025-11-17 00:00:00;1090.0;25;228.92;293521;2025-11-21 00:00:00;1090.0;25;228.92;;4;;;5;0;Em Rota
2203;WILSON MEDEIROS DA SILVA;SR. WILSON AUDICONTA;Natal;RN;10100102;RN - NATAL SUL;288296;2025-11-04 00:00:00;471.3;13;158.82;288382;2025-11-04 00:00:00;486.62;13;158.82;2025-11-05 00:00:00;0;1;1;5;1;Entregue
2962;MIX TRANSPORTES LTDA;MIX TRANSPORTES LTDA;MARACANAU;CE;10700100;CE - OPERADOR LOGÍST;291299;2025-11-13 00:00:00;3114.04;173;1121.04;291416;2025-11-13 00:00:00;3114.04;173;1121.04;;0;;;2;0;Em Rota
1333;AZEVEDO CRUZ SUPERMERCADO LTDA;ALEX SUPERMERCADO SP POTENGI-COMPRECLUBE;São Paulo do Potengi;RN;10101800;RN - TRAIRI;291439;2025-11-13 00:00:00;708.48;12;56.28;293835;2025-11-21 00:00:00;708.48;12;56.28;;8;;;3;0;Em Rota
489;DIOGENES & CIA LTDA;ARMAZEM SAO FRANCISCO-REDE OESTE;PORTALEGRE;RN;10101500;RN - AUTO-OESTE;293164;2025-11-20 00:00:00;1244.26;50;555.12;293467;2025-11-21 00:00:00;1244.26;50;555.12;;1;;;5;0;Em Rota
499;MERCANTIL MAIA LTDA;PROGRESSO SUP.-REDE OESTE;Pau dos Ferros;RN;10101500;RN - AUTO-OESTE;293175;2025-11-20 00:00:00;621.0;33;240.024;293478;2025-11-21 00:00:00;621.0;33;240.024;;1;;;5;0;Em Rota
513;HIPER QUEIROZ LTDA;QUEIROZ BOA VISTA NOVO;Mossoro;RN;10101300;RN - MOSSORÓ;293411;2025-11-21 00:00:00;705.6;30;234.72;293546;2025-11-21 00:00:00;705.6;30;234.72;;0;;;2;0;Em Rota
375;ALAIN DELON SILVA OLIVEIRA;SUP. VITORIA - REDE COMPREMAIS;Campina Grande;PB;10200400;PB - CAMPINA GRANDE;293268;2025-11-21 00:00:00;7510.2;204;1230.528;294160;2025-11-24 00:00:00;128.16;2;3.288;;3;;;1;0;Em Rota
2946;QUEIROZ ATACADAO LTDA;QUEIROZ CATOLE DO ROCHA PB;CATOLE DO ROCHA;PB;10201000;PB|PE - ESQUERDA PAT;288676;2025-11-05 00:00:00;4024.08;100;617.952;289602;2025-11-07 00:00:00;4024.08;100;617.952;2025-11-11 00:00:00;2;4;6;17;1;Entregue
774;JANAINA ALVES DE SOUZA SILVA;SUP. SUPER NOVO CUITE - PONTES E SOARES;CUITE;PB;10200600;PB - SUPERIOR CG 2;289454;2025-11-07 00:00:00;3274.34;108;705.914;291632;2025-11-14 00:00:00;3169.54;106;678.89;;7;;;32;0;Em Rota
138;SENDAS DISTRIBUIDORA S/A;ASSAI N. SENH. SOCORRO SE LJ 251;NSA SRA SOCORRO;SE;10500100;SE|BA-SERGIP+PAULO A;290646;2025-11-11 00:00:00;8128.0;687;4417.488;293049;2025-11-19 00:00:00;6718.24;555;3562.128;;8;;;8;0;Em Rota
5839;ANCORA DISTRIBUIDORA DE ALIMENTOS LTDA;SUPERFRANGOLANDIA ITAPERI - FRANGOLANDIA LJ09;Fortaleza;CE;10700100;CE - OPERADOR LOGÍST;290410;2025-11-10 00:00:00;2383.95;50;191.382;290479;2025-11-11 00:00:00;2335.71;49;190.638;;1;;;45;0;Em Rota
503;HIPER QUEIROZ LTDA;QUEIROZ PATU;PATU;RN;10101500;RN - AUTO-OESTE;289315;2025-11-06 00:00:00;1383.24;31;178.848;289678;2025-11-07 00:00:00;1383.24;31;178.848;2025-11-19 00:00:00;1;12;13;14;1;Entregue
462;COMERCIAL VENANCIO LTDA;REDE MAIS REDINHA;Natal;RN;10100101;RN - NATAL NORTE;293940;2025-11-23 00:00:00;1695.0;73;430.608;294070;2025-11-24 00:00:00;1695.0;73;430.608;;1;;;9;0;Em Rota
4064;JORISTON FABIO MORAIS DE MOURA;MERCADINHO DOIS IRMAOS;CAMPO REDONDO;RN;10101800;RN - TRAIRI;288878;2025-11-05 00:00:00;1250.0;29;180.108;289846;2025-11-07 00:00:00;1130.96;27;158.652;2025-11-12 00:00:00;2;5;7;21;1;Entregue
754;RUBENS CRISPIM DA SILVA;MERC. SANTA LUZIA;Joao Camara;RN;10101700;RN - SALINEIRA 2;288826;2025-11-05 00:00:00;867.64;34;236.112;290022;2025-11-10 00:00:00;66.72;1;10.728;2025-11-11 00:00:00;5;1;6;1;1;Entregue
820;POMPEIA COMERCIO VAREJISTA E ATACADISTA DE ALIMENTOS LTDA;NOVA REPUBLICA III BAIXADA PAJUCARA;Natal;RN;10100101;RN - NATAL NORTE;289094;2025-11-06 00:00:00;1158.0;50;366.48;289097;2025-11-06 00:00:00;1158.0;50;366.48;2025-11-06 00:00:00;0;0;0;2;1;Entregue
497;SUPERMERCADO GOMES & FILHOS LTDA;SUP. GOMES & FILHOS-REDE OESTE;SEVERIANO MELO;RN;10101500;RN - AUTO-OESTE;293181;2025-11-20 00:00:00;236.8;8;73.968;293483;2025-11-21 00:00:00;236.8;8;73.968;;1;;;3;0;Em Rota
